rank,lemma,pos,popularity_count,pos_majority_ratio
106,caso,NOUN,516,0.988372
107,forma,NOUN,501,1.0
108,próximo,ADJ,492,0.971545
109,dejar,VERB,490,1.0
110,general,ADJ,489,0.701431
111,lugar,NOUN,486,0.997942
112,antes,ADV,486,0.99177
113,ganar,VERB,486,0.997942
114,punto,NOUN,482,1.0
117,buen,ADJ,473,0.983087
118,vida,NOUN,470,0.976596
119,conocer,VERB,467,0.972163
120,mundo,NOUN,465,0.969892
121,quedar,VERB,460,1.0
122,público,ADJ,454,0.702643
123,final,NOUN,452,0.752212
124,mantener,VERB,449,0.997773
125,saber,VERB,448,0.924107
126,presentar,VERB,446,1.0
127,considerar,VERB,446,0.997758
130,hora,NOUN,441,0.997732
131,volver,VERB,440,0.997727
132,familia,NOUN,438,0.986301
133,trabajo,NOUN,437,0.977117
134,momento,NOUN,436,0.997706
135,realizar,VERB,435,1.0
136,asegurar,VERB,431,1.0
138,política,NOUN,430,0.588372
139,permitir,VERB,418,0.997608
140,propio,ADJ,418,0.717703
141,jugar,VERB,417,0.997602
144,contar,VERB,408,0.970588
145,ministro,NOUN,405,0.992593
146,jugador,NOUN,402,0.987562
147,menos,ADV,401,0.982544
148,recibir,VERB,398,1.0
149,zona,NOUN,397,0.987406
150,semana,NOUN,397,0.989924
153,pedir,VERB,393,1.0
154,servicio,NOUN,391,0.98977
155,nombre,NOUN,386,0.992228
156,obra,NOUN,386,1.0
157,acuerdo,NOUN,384,0.989583
158,conseguir,VERB,383,0.997389
159,producir,VERB,378,1.0
160,convertir,VERB,375,1.0
161,tratar,VERB,373,0.997319
162,embargo,NOUN,373,0.991957
163,siempre,ADV,372,1.0
164,principal,ADJ,371,0.983827
165,grande,ADJ,369,0.910569
166,casa,NOUN,369,0.894309
167,único,ADJ,368,0.9375
168,sistema,NOUN,364,0.986264
169,centro,NOUN,364,0.925824
170,gobierno,NOUN,361,0.975069
171,problema,NOUN,360,1.0
172,municipio,NOUN,359,1.0
173,junto,ADJ,359,0.788301
174,pequeño,ADJ,359,0.972145
175,explicar,VERB,356,1.0
176,lograr,VERB,356,1.0
177,comenzar,VERB,355,1.0
178,número,NOUN,354,0.983051
179,nacional,ADJ,353,0.753541
180,club,NOUN,350,0.848571
182,hombre,NOUN,349,0.985673
183,importante,ADJ,345,0.985507
184,internacional,ADJ,345,0.895652
185,incluir,VERB,343,0.991254
186,situación,NOUN,342,1.0
187,alto,ADJ,340,0.888235
188,mujer,NOUN,338,0.997041
189,mercado,NOUN,336,0.997024
190,parecer,VERB,336,0.928571
191,frente,NOUN,336,0.77381
192,político,ADJ,336,0.776786
193,fin,NOUN,335,1.0
196,guerra,NOUN,334,0.793413
197,creer,VERB,330,0.990909
198,precio,NOUN,329,1.0
199,total,ADJ,329,0.632219
200,estadounidense,ADJ,328,0.871951
204,agua,NOUN,320,0.984375
205,perder,VERB,319,1.0
206,peseta,NOUN,319,1.0
207,decidir,VERB,318,1.0
208,vivir,VERB,318,0.993711
209,afirmar,VERB,318,1.0
210,salir,VERB,316,1.0
211,llamar,VERB,315,1.0
213,casi,ADV,312,0.987179
214,tipo,NOUN,312,0.996795
216,historia,NOUN,310,0.941935
217,mostrar,VERB,310,0.990323
218,económico,ADJ,309,0.996764
219,utilizar,VERB,309,1.0
220,cambio,NOUN,302,0.983444
221,miembro,NOUN,301,0.986711
222,entonces,ADV,300,0.996667
223,elección,NOUN,300,1.0
224,fuerza,NOUN,300,0.936667
225,derecho,NOUN,298,0.805369
226,largo,ADJ,298,0.567114
227,existir,VERB,297,1.0
228,francés,ADJ,293,0.788396
229,habitante,NOUN,293,1.0
230,señalar,VERB,292,1.0
231,resultado,NOUN,290,0.996552
232,compañía,NOUN,290,0.965517
234,posible,ADJ,289,0.989619
235,proyecto,NOUN,288,0.989583
236,pueblo,NOUN,287,0.986063
237,joven,NOUN,287,0.630662
238,trabajar,VERB,287,1.0
239,medida,NOUN,287,0.996516
241,temporada,NOUN,286,1.0
242,tomar,VERB,286,1.0
243,hablar,VERB,285,0.996491
244,hecho,NOUN,285,0.810526
245,actual,ADJ,284,1.0
246,destacar,VERB,283,0.996466
248,sector,NOUN,282,1.0
250,hijo,NOUN,276,0.996377
251,región,NOUN,276,0.985507
253,anunciar,VERB,275,1.0
254,esperar,VERB,275,0.996364
255,formar,VERB,274,0.99635
256,especie,NOUN,274,1.0
257,decisión,NOUN,274,1.0
258,programa,NOUN,272,0.977941
259,crear,VERB,271,1.0
260,cosa,NOUN,269,0.996283
261,dólar,NOUN,268,1.0
262,tal,ADJ,268,0.276119
263,proceso,NOUN,266,0.992481
264,partir,VERB,262,0.561069
265,juego,NOUN,262,0.996183
266,intentar,VERB,260,1.0
267,relación,NOUN,258,1.0
268,incluso,ADV,257,0.984436
270,siglo,NOUN,256,0.976562
271,técnico,NOUN,256,0.695312
272,social,ADJ,254,0.972441
273,dentro,ADV,254,0.992126
274,fuente,NOUN,254,0.964567
276,participar,VERB,253,0.992095
277,luego,ADV,253,1.0
278,futuro,NOUN,253,0.679842
279,aún,ADV,253,0.976285
280,tarde,ADV,252,0.595238
281,mayoría,NOUN,251,1.0
282,situar,VERB,250,1.0
283,capital,NOUN,250,0.94
285,calle,NOUN,249,0.923695
286,director,NOUN,248,0.983871
287,provincia,NOUN,248,0.987903
288,nunca,ADV,247,1.0
291,central,ADJ,242,0.520661
292,tierra,NOUN,242,0.896694
293,sur,NOUN,241,0.717842
294,recordar,VERB,240,0.991667
295,europeo,ADJ,240,0.9
296,padre,NOUN,240,0.983333
297,ley,NOUN,240,0.9875
298,local,ADJ,239,0.698745
299,actividad,NOUN,239,1.0
300,pesar,NOUN,238,0.789916
301,blanco,ADJ,238,0.634454
303,minuto,NOUN,237,0.995781
304,añadir,VERB,237,1.0
305,alcanzar,VERB,237,1.0
307,nivel,NOUN,235,1.0
308,película,NOUN,235,0.995745
309,ofrecer,VERB,235,1.0
310,acabar,VERB,235,1.0
311,candidato,NOUN,235,1.0
312,buscar,VERB,234,0.991453
313,línea,NOUN,233,0.991416
314,ubicar,VERB,232,1.0
315,nacer,VERB,232,0.99569
317,cuenta,NOUN,231,1.0
318,reconocer,VERB,230,1.0
319,título,NOUN,230,1.0
320,sociedad,NOUN,230,0.913043
321,campo,NOUN,230,0.926087
323,pensar,VERB,229,1.0
325,indicar,VERB,228,0.995614
327,resto,NOUN,227,1.0
328,antiguo,ADJ,227,0.955947
329,estudio,NOUN,227,0.991189
330,euro,NOUN,227,0.991189
331,acción,NOUN,227,0.982379
332,empezar,VERB,227,1.0
334,venir,VERB,226,1.0
335,oficial,ADJ,226,0.889381
336,real,ADJ,225,0.524444
337,serie,NOUN,225,0.951111
338,mundial,ADJ,225,0.684444
339,objetivo,NOUN,224,0.96875
340,militar,ADJ,224,0.669643
341,ejemplo,NOUN,223,1.0
342,norte,NOUN,223,0.753363
344,informar,VERB,222,1.0
345,líder,NOUN,222,0.990991
346,paso,NOUN,221,0.945701
347,mañana,NOUN,221,0.506787
348,alemán,ADJ,220,0.695455
349,victoria,NOUN,219,0.931507
351,orden,NOUN,218,0.940367
353,suponer,VERB,217,1.0
354,banda,NOUN,217,0.986175
355,entrar,VERB,217,0.995392
356,puesto,NOUN,217,0.903226
357,carrera,NOUN,217,0.981567
359,ocasión,NOUN,216,1.0
360,raza,NOUN,216,0.990741
362,aparecer,VERB,214,1.0
363,metro,NOUN,214,0.990654
364,ex,ADJ,214,0.836449
365,fútbol,NOUN,213,0.868545
366,través,NOUN,213,1.0
367,servir,VERB,213,1.0
368,plan,NOUN,211,0.952607
369,tercero,ADJ,211,0.909953
370,operación,NOUN,211,0.976303
372,obtener,VERB,210,1.0
373,posibilidad,NOUN,210,0.995238
374,censo,NOUN,209,0.861244
375,niño,NOUN,209,0.956938
376,dirigir,VERB,209,1.0
377,muerte,NOUN,209,0.985646
378,campaña,NOUN,207,0.990338
380,catalán,ADJ,207,0.743961
381,diferente,ADJ,206,0.834951
382,celebrar,VERB,206,1.0
383,conjunto,NOUN,205,0.760976
384,mano,NOUN,204,0.985294
385,cambiar,VERB,204,1.0
387,declarar,VERB,204,1.0
389,producto,NOUN,203,0.995074
390,principio,NOUN,203,1.0
391,sufrir,VERB,203,1.0
392,apoyo,NOUN,202,0.99505
394,isla,NOUN,202,0.831683
395,máximo,ADJ,202,0.811881
396,evitar,VERB,201,1.0
397,gente,NOUN,201,0.995025
398,noche,NOUN,200,0.955
399,fuerte,ADJ,200,0.88
400,anterior,ADJ,200,0.95
401,río,NOUN,199,0.80402
403,abrir,VERB,199,0.994975
405,autoridad,NOUN,197,0.989848
406,fondo,NOUN,197,0.954315
407,información,NOUN,196,0.984694
408,canción,NOUN,196,0.969388
410,policía,NOUN,196,0.979592
411,gol,NOUN,195,0.989744
412,morir,VERB,193,0.943005
413,inglés,NOUN,191,0.664921
414,jefe,NOUN,191,0.989529
415,cumplir,VERB,190,0.989474
416,desarrollo,NOUN,190,0.973684
417,investigación,NOUN,190,0.978947
418,profesional,ADJ,190,0.615789
419,británico,ADJ,189,0.835979
421,rey,NOUN,188,0.840426
422,especial,ADJ,188,0.957447
423,venta,NOUN,188,0.978723
424,cerca,ADV,188,1.0
425,manera,NOUN,187,1.0
427,base,NOUN,186,0.983871
428,interés,NOUN,186,1.0
429,defensa,NOUN,186,0.935484
430,popular,ADJ,186,0.849462
431,electoral,ADJ,186,0.983871
432,representar,VERB,185,1.0
433,necesario,ADJ,185,0.956757
434,continuar,VERB,185,1.0
435,valor,NOUN,185,0.994595
436,cargo,NOUN,184,0.994565
438,organización,NOUN,184,0.956522
439,respecto,NOUN,184,1.0
444,resultar,VERB,183,0.994536
445,establecer,VERB,183,1.0
446,libro,NOUN,183,0.978142
447,reunión,NOUN,182,0.983516
448,encuentro,NOUN,182,0.961538
449,dedicar,VERB,182,1.0
450,tema,NOUN,182,0.994505
451,iniciar,VERB,181,1.0
452,lanzar,VERB,181,1.0
453,humano,ADJ,181,0.895028
454,distinto,ADJ,180,0.788889
455,área,NOUN,180,1.0
456,localidad,NOUN,180,1.0
457,socialista,ADJ,180,0.533333
458,usar,VERB,179,0.994413
459,diario,NOUN,178,0.707865
460,escribir,VERB,178,1.0
461,claro,ADJ,177,0.779661
462,personal,ADJ,177,0.666667
463,éxito,NOUN,177,0.99435
464,prensa,NOUN,177,0.988701
465,desarrollar,VERB,176,1.0
466,condición,NOUN,175,0.994286
467,publicar,VERB,175,1.0
469,ocurrir,VERB,174,1.0
470,pertenecer,VERB,174,1.0
471,palabra,NOUN,173,0.982659
472,caer,VERB,171,0.982456
474,terminar,VERB,171,1.0
475,producción,NOUN,170,1.0
476,igual,ADJ,170,0.817647
477,seguridad,NOUN,170,0.976471
478,jornada,NOUN,170,1.0
479,allí,ADV,169,0.994083
481,argentino,ADJ,169,0.674556
482,necesidad,NOUN,168,1.0
483,lado,NOUN,166,1.0
484,razón,NOUN,166,0.975904
488,difícil,ADJ,165,1.0
489,prueba,NOUN,165,1.0
490,imagen,NOUN,164,1.0
491,construir,VERB,164,1.0
492,uso,NOUN,164,0.993902
493,papel,NOUN,164,1.0
494,territorio,NOUN,163,1.0
496,comunidad,NOUN,162,0.888889
497,oficina,NOUN,162,0.888889
498,cuerpo,NOUN,162,0.981481
499,solo,ADJ,161,0.819876
500,idea,NOUN,161,1.0
501,domingo,NOUN,161,0.714286
502,libre,ADJ,160,0.95625
503,posición,NOUN,160,0.99375
504,menor,ADJ,160,0.875
505,planta,NOUN,160,1.0
507,provocar,VERB,160,1.0
509,secretario,NOUN,159,0.962264
511,acto,NOUN,159,0.981132
512,aceptar,VERB,159,1.0
513,dato,NOUN,158,1.0
514,ocupar,VERB,158,1.0
515,formación,NOUN,158,0.993671
516,portavoz,NOUN,158,1.0
517,condado,NOUN,157,0.980892
518,aumentar,VERB,156,0.99359
520,densidad,NOUN,156,1.0
522,ayuda,NOUN,156,0.955128
523,todavía,ADV,156,0.967949
524,italiano,ADJ,156,0.737179
526,cerrar,VERB,155,0.980645
527,calidad,NOUN,155,1.0
528,dinero,NOUN,155,0.987097
529,realidad,NOUN,155,1.0
530,espacio,NOUN,155,0.974194
531,falta,NOUN,155,1.0
533,capacidad,NOUN,154,1.0
534,departamento,NOUN,154,0.967532
535,superar,VERB,154,1.0
536,siguiente,ADJ,153,0.908497
537,estación,NOUN,153,0.954248
538,plaza,NOUN,153,0.888889
539,modelo,NOUN,153,0.993464
540,defender,VERB,153,0.993464
541,voto,NOUN,153,0.993464
542,amigo,NOUN,152,0.927632
543,red,NOUN,152,0.894737
544,control,NOUN,151,1.0
545,actualmente,ADV,151,1.0
546,ingreso,NOUN,151,1.0
547,actuar,VERB,151,1.0
548,personaje,NOUN,151,1.0
549,coche,NOUN,151,1.0
550,distrito,NOUN,151,0.97351
551,sentido,NOUN,151,0.993377
552,responsable,NOUN,151,0.754967
553,negro,ADJ,150,0.68
554,vender,VERB,150,1.0
555,origen,NOUN,150,1.0
556,oposición,NOUN,150,0.986667
558,demostrar,VERB,149,0.993289
559,vasco,ADJ,149,0.765101
561,finalmente,ADV,148,1.0
564,disputar,VERB,147,1.0
565,representante,NOUN,147,0.972789
566,sentir,VERB,147,0.965986
567,manifestar,VERB,147,0.993197
568,causa,NOUN,147,0.993197
570,viaje,NOUN,146,0.952055
571,cuarto,ADJ,146,0.664384
572,corresponder,VERB,146,1.0
573,ciudadano,NOUN,146,0.89726
575,reducir,VERB,144,1.0
576,efecto,NOUN,144,1.0
577,vuelta,NOUN,144,0.986111
579,época,NOUN,144,0.993056
580,cultura,NOUN,144,0.9375
581,dirección,NOUN,144,0.972222
582,camino,NOUN,144,0.944444
583,diferencia,NOUN,144,1.0
585,superior,ADJ,143,0.874126
586,trabajador,NOUN,143,0.951049
587,vía,NOUN,143,0.888112
588,ataque,NOUN,143,1.0
589,recuperar,VERB,143,1.0
590,subir,VERB,143,1.0
591,cabeza,NOUN,142,0.985915
592,reforma,NOUN,142,0.978873
593,construcción,NOUN,142,0.971831
594,opinión,NOUN,142,1.0
595,paz,NOUN,142,0.93662
596,selección,NOUN,142,0.992958
597,inversión,NOUN,142,0.985915
598,música,NOUN,141,0.978723
599,kilómetro,NOUN,141,1.0
601,color,NOUN,141,0.992908
602,comercial,ADJ,141,0.921986
603,titular,NOUN,141,0.588652
604,fecha,NOUN,141,1.0
605,pagar,VERB,141,1.0
606,reunir,VERB,140,1.0
607,versión,NOUN,140,1.0
608,rival,NOUN,140,0.892857
609,víctima,NOUN,140,1.0
611,economía,NOUN,139,0.971223
612,comisión,NOUN,139,0.920863
613,recurso,NOUN,139,0.985612
614,comentar,VERB,139,1.0
615,cabo,NOUN,139,0.964029
618,experiencia,NOUN,138,0.985507
620,natural,ADJ,138,0.898551
621,escuela,NOUN,138,0.84058
622,proponer,VERB,138,1.0
623,televisión,NOUN,138,0.978261
624,confirmar,VERB,138,1.0
626,declaración,NOUN,137,0.992701
627,cuanto,NOUN,137,0.474453
628,médico,NOUN,137,0.591241
629,aquí,ADV,137,1.0
631,interior,NOUN,136,0.698529
632,civil,ADJ,136,0.830882
633,madre,NOUN,135,0.940741
634,oportunidad,NOUN,135,0.992593
635,vecino,NOUN,135,0.77037
636,propuesta,NOUN,135,1.0
637,mal,ADV,135,0.511111
638,cliente,NOUN,135,0.985185
639,mar,NOUN,134,0.716418
640,marcha,NOUN,134,0.977612
641,común,ADJ,133,0.924812
642,premio,NOUN,133,0.932331
643,movimiento,NOUN,133,0.984962
644,arma,NOUN,133,0.984962
645,vehículo,NOUN,133,1.0
647,hotel,NOUN,132,0.878788
648,seguro,ADJ,132,0.636364
649,presencia,NOUN,132,0.977273
650,empleo,NOUN,132,0.977273
651,fuera,ADV,131,0.877863
652,contrato,NOUN,130,0.992308
653,cantidad,NOUN,130,0.992308
654,consecuencia,NOUN,130,1.0
656,disponer,VERB,130,0.984615
657,campeón,NOUN,130,0.984615
661,necesitar,VERB,129,1.0
663,unidad,NOUN,129,0.976744
664,lista,NOUN,129,0.976744
665,fiscal,ADJ,129,0.511628
666,edificio,NOUN,128,0.984375
667,libertad,NOUN,128,0.953125
668,unir,VERB,128,0.984375
669,viajar,VERB,128,1.0
670,oferta,NOUN,128,1.0
671,tocar,VERB,128,1.0
672,ayudar,VERB,128,1.0
673,apoyar,VERB,128,1.0
674,división,NOUN,127,0.905512
675,histórico,ADJ,127,0.984252
676,dirigente,NOUN,127,0.944882
677,material,NOUN,127,0.858268
678,hermano,NOUN,127,0.968504
679,aprobar,VERB,127,1.0
680,exigir,VERB,127,1.0
681,alrededor,ADV,126,0.81746
682,ejército,NOUN,126,0.920635
684,registrar,VERB,126,1.0
685,juez,NOUN,126,1.0
686,especialmente,ADV,126,1.0
687,puerta,NOUN,125,0.952
688,elegir,VERB,125,1.0
689,edad,NOUN,125,0.928
690,abierto,ADJ,125,0.96
691,costa,NOUN,125,0.728
692,mejorar,VERB,125,1.0
693,crisis,NOUN,125,0.992
694,referir,VERB,124,1.0
695,disco,NOUN,124,1.0
698,torneo,NOUN,124,1.0
699,gustar,VERB,124,1.0
700,bastante,ADV,124,0.491935
701,componer,VERB,124,1.0
702,duda,NOUN,124,0.991935
703,autor,NOUN,123,1.0
704,superficie,NOUN,123,1.0
706,modo,NOUN,123,0.99187
707,abandonar,VERB,123,1.0
708,entrada,NOUN,123,1.0
709,firma,NOUN,123,0.99187
710,estilo,NOUN,122,1.0
712,regresar,VERB,122,0.97541
714,crecimiento,NOUN,122,1.0
715,conocido,ADJ,121,0.900826
716,marca,NOUN,121,0.933884
717,entidad,NOUN,121,1.0
719,afectar,VERB,120,1.0
720,lucha,NOUN,120,0.975
721,detener,VERB,120,1.0
722,negar,VERB,120,1.0
723,motivo,NOUN,120,0.983333
724,pese,NOUN,120,1.0
725,entrenador,NOUN,119,1.0
726,municipal,ADJ,119,0.882353
727,congreso,NOUN,119,0.857143
728,álbum,NOUN,119,0.983193
729,agregar,VERB,119,1.0
730,bajar,VERB,119,0.983193
731,sede,NOUN,119,0.97479
732,entregar,VERB,119,0.966387
733,institución,NOUN,119,1.0
734,enfrentar,VERB,118,1.0
736,duro,ADJ,118,0.915254
739,barrio,NOUN,117,0.948718
740,carácter,NOUN,117,1.0
741,salida,NOUN,117,0.991453
742,deportivo,ADJ,117,0.871795
743,aprovechar,VERB,117,1.0
744,ruso,ADJ,117,0.803419
745,conductor,NOUN,117,0.735043
746,asunto,NOUN,117,1.0
747,triunfo,NOUN,116,1.0
748,mexicano,ADJ,116,0.810345
749,privado,ADJ,116,0.939655
750,activo,ADJ,116,0.758621
751,diputado,NOUN,116,0.982759
753,significar,VERB,115,1.0
754,clase,NOUN,115,0.991304
755,comprar,VERB,115,0.956522
756,cara,NOUN,115,0.93913
757,presente,ADJ,115,0.8
758,sitio,NOUN,115,0.982609
759,soler,VERB,115,0.991304
760,compañero,NOUN,115,0.991304
761,malo,ADJ,115,0.973913
762,competencia,NOUN,115,0.991304
763,agente,NOUN,115,1.0
765,gracia,NOUN,114,0.912281
766,visita,NOUN,114,0.964912
767,financiero,ADJ,114,0.885965
768,categoría,NOUN,114,1.0
769,oro,NOUN,114,0.859649
771,previsto,ADJ,114,0.982456
774,viernes,NOUN,113,0.787611
775,numeroso,ADJ,113,1.0
776,sumar,VERB,113,0.99115
777,familiar,ADJ,112,0.580357
778,preparar,VERB,112,1.0
779,actor,NOUN,112,0.991071
781,solución,NOUN,112,1.0
782,reclamar,VERB,112,1.0
783,pretender,VERB,112,1.0
785,negociación,NOUN,111,1.0
786,juicio,NOUN,111,0.972973
787,expresar,VERB,111,1.0
788,crítica,NOUN,111,0.990991
789,impuesto,NOUN,111,0.846847
790,actuación,NOUN,110,1.0
791,atención,NOUN,110,0.990909
792,advertir,VERB,110,1.0
793,favor,NOUN,110,0.990909
794,esfuerzo,NOUN,110,1.0
795,acceso,NOUN,110,0.981818
796,acusar,VERB,110,1.0
797,enviar,VERB,110,0.990909
798,batalla,NOUN,110,0.8
799,laboral,ADJ,110,1.0
800,impedir,VERB,110,1.0
802,cadena,NOUN,109,0.93578
803,arte,NOUN,109,0.944954
804,permanecer,VERB,109,1.0
805,similar,ADJ,109,1.0
806,verano,NOUN,109,1.0
807,mitad,NOUN,109,0.990826
808,avión,NOUN,109,1.0
809,verdad,NOUN,109,0.972477
810,directo,ADJ,109,0.798165
811,plazo,NOUN,109,0.990826
812,residir,VERB,108,1.0
813,aire,NOUN,108,0.972222
814,trasladar,VERB,108,0.990741
815,sacar,VERB,108,1.0
816,visitar,VERB,108,1.0
819,crecer,VERB,107,0.990654
820,acompañar,VERB,107,0.990654
821,cine,NOUN,106,0.896226
822,género,NOUN,106,0.990566
824,banco,NOUN,106,0.830189
825,estudiar,VERB,106,1.0
826,periodista,NOUN,106,0.981132
828,cámara,NOUN,105,0.942857
829,musical,ADJ,105,0.885714
830,artista,NOUN,105,0.990476
831,carta,NOUN,105,1.0
832,administración,NOUN,105,0.990476
833,grave,ADJ,105,1.0
834,entender,VERB,105,1.0
835,derrota,NOUN,105,0.980952
836,extranjero,NOUN,105,0.495238
839,retirar,VERB,104,1.0
840,comunicación,NOUN,104,0.980769
841,escenario,NOUN,104,1.0
842,elemento,NOUN,104,1.0
843,firmar,VERB,104,1.0
844,peso,NOUN,104,1.0
845,década,NOUN,104,1.0
846,liga,NOUN,103,0.834951
847,propiedad,NOUN,103,1.0
848,campeonato,NOUN,103,0.825243
849,voz,NOUN,103,0.932039
851,brasileño,ADJ,103,0.650485
852,aspecto,NOUN,103,1.0
853,consejo,NOUN,102,0.686275
854,industria,NOUN,102,0.95098
855,posteriormente,ADV,102,1.0
856,término,NOUN,102,1.0
857,creación,NOUN,102,1.0
858,respuesta,NOUN,102,0.990196
859,estadio,NOUN,102,0.911765
861,apuntar,VERB,102,1.0
862,empresario,NOUN,102,0.990196
863,acudir,VERB,102,1.0
864,violencia,NOUN,102,0.990196
866,conflicto,NOUN,101,0.990099
868,organizar,VERB,101,1.0
869,preguntar,VERB,101,0.990099
870,tampoco,ADV,101,1.0
871,colocar,VERB,101,1.0
873,imponer,VERB,101,1.0
876,tradicional,ADJ,100,0.98
878,hija,NOUN,100,0.98
879,función,NOUN,100,1.0
880,cuestión,NOUN,100,1.0
881,insistir,VERB,99,1.0
882,miércoles,NOUN,99,0.828283
883,marcar,VERB,99,1.0
884,contrario,NOUN,99,0.606061
885,animal,NOUN,99,0.919192
886,baja,NOUN,99,0.59596
889,riesgo,NOUN,99,1.0
890,fundar,VERB,99,1.0
891,responder,VERB,99,1.0
892,organismo,NOUN,99,1.0
893,cercano,ADJ,99,0.989899
894,pleno,ADJ,99,0.707071
895,puerto,NOUN,99,0.727273
896,beneficio,NOUN,99,1.0
898,iglesia,NOUN,98,0.765306
899,científico,ADJ,98,0.5
900,fiesta,NOUN,98,0.938776
901,controlar,VERB,98,0.918367
902,educación,NOUN,98,0.836735
903,estrella,NOUN,98,0.989796
904,calificar,VERB,98,1.0
906,ciencia,NOUN,97,0.773196
907,edición,NOUN,97,0.979381
909,famoso,ADJ,97,0.938144
910,amplio,ADJ,97,0.989691
911,mínimo,ADJ,97,0.742268
912,conducir,VERB,97,0.989691
913,presión,NOUN,97,1.0
916,vídeo,NOUN,96,0.989583
917,señor,NOUN,96,0.895833
918,incorporar,VERB,96,1.0
919,compartir,VERB,96,1.0
920,esposa,NOUN,96,0.989583
921,interno,ADJ,96,0.958333
923,informe,NOUN,96,1.0
924,concluir,VERB,96,1.0
925,etapa,NOUN,96,1.0
926,comercio,NOUN,96,0.916667
927,compromiso,NOUN,96,1.0
928,candidatura,NOUN,96,1.0
929,enfermedad,NOUN,95,1.0
930,completo,ADJ,95,0.747368
931,prever,VERB,95,0.989474
932,vuelo,NOUN,95,0.978947
933,cultural,ADJ,95,0.936842
934,accidente,NOUN,95,1.0
935,aumento,NOUN,95,1.0
936,asociación,NOUN,95,0.778947
937,basar,VERB,95,1.0
938,participación,NOUN,95,1.0
939,gestión,NOUN,95,0.989474
940,alcalde,NOUN,95,1.0
941,coincidir,VERB,95,1.0
942,físico,ADJ,95,0.905263
944,obligar,VERB,95,1.0
945,terreno,NOUN,95,0.978947
946,período,NOUN,94,0.957447
947,gobernador,NOUN,94,0.989362
948,objeto,NOUN,94,1.0
949,rechazar,VERB,94,1.0
950,rápido,ADJ,94,0.914894
951,carretera,NOUN,94,0.968085
952,capaz,ADJ,94,0.978723
953,ayuntamiento,NOUN,94,0.893617
954,protesta,NOUN,94,0.989362
955,admitir,VERB,94,1.0
957,demasiado,ADV,93,0.612903
958,ahí,ADV,93,1.0
959,práctica,NOUN,93,0.956989
960,poseer,VERB,93,1.0
961,ambiente,NOUN,93,0.989247
962,adquirir,VERB,93,1.0
964,recoger,VERB,93,1.0
965,negocio,NOUN,93,0.989247
966,responsabilidad,NOUN,93,0.989247
967,cifra,NOUN,93,1.0
968,subrayar,VERB,93,1.0
969,precisar,VERB,93,0.989247
970,pie,NOUN,92,0.978261
971,luz,NOUN,92,0.945652
972,asimismo,ADV,92,1.0
973,estructura,NOUN,92,0.98913
974,trato,NOUN,92,0.98913
975,facilitar,VERB,92,1.0
976,romper,VERB,92,0.978261
977,república,NOUN,92,0.51087
978,aplicar,VERB,92,1.0
980,inicio,NOUN,91,1.0
981,pista,NOUN,91,1.0
982,lengua,NOUN,91,0.956044
983,correr,VERB,91,1.0
984,resolver,VERB,91,1.0
986,intención,NOUN,91,1.0
987,vicepresidente,NOUN,91,1.0
988,obstante,NOUN,91,0.637363
989,contener,VERB,90,1.0
990,encima,ADV,90,1.0
991,introducir,VERB,90,1.0
992,japonés,ADJ,90,0.811111
